cs_tt,cs_ft,cs_tl,cs_fl,d_tt,d_ft,d_tl,d_fl,wd_tt,wd_ft,wd_tl,wd_fl,w_tt,w_ft,w_tl,w_fl,ns_tt,ns_ft,ns_tl,ns_fl
11.7648,-37.4,-677.0796,7721.1,6.96,-38.2,-703.8936,5955.5,11.0604,-54.9,-228.8184,1365.6,8.8764,-32.3,-639.1848,7771.9,25.3632,38.5,-517.5612,5531
11.6196,-36,-669.6444,7621.2,6.7188,-40.2,-695.1156,5883.5,11.2164,-65.6,-203.7864,1187.7,9.204,-38.4,-631.1664,7729.9,25.5276,43.8,-502.8948,5370.4
11.8464,-28.4,-661.4496,7531.8,7.5444,-34.7,-685.656,5814.5,11.5056,-63.4,-180.9264,1020,8.934,-41.2,-622.5588,7683.3,25.6116,47.3,-488.5236,5205
11.6832,-30.3,-654.4848,7428.5,7.164,-27.8,-678.0552,5749.1,11.7132,-56.9,-159.9432,873.8,8.97,-32.6,-615.5748,7643.1,25.9908,47.4,-472.7064,5028.5
11.8224,-31,-646.4676,7333.2,7.1904,-37.7,-671.556,5702.3,11.4924,-65.7,-142.9872,757.6,8.7156,-34.6,-609.2076,7598.6,26.1672,50.9,-457.9764,4871.8
12.1428,-35,-638.4384,7231,7.2516,-35.5,-665.1564,5638.2,11.052,-48.3,-130.3872,666.7,9.1272,-43,-604.3776,7571.5,25.5456,42.5,-443.6304,4706.3
11.9496,-40.9,-630.252,7113.3,6.852,-29.9,-659.3244,5592.4,11.2068,-47.4,-121.0932,597.1,8.9388,-30.2,-600.5208,7538.3,26.2488,44,-429.606,4541.9
12.3756,-31.1,-620.7204,7005,7.0008,-28.9,-654.3492,5536.3,11.106,-41.7,-113.7276,546.4,8.8116,-32.4,-598.0128,7489.7,26.4516,38.7,-415.6056,4391.6
12.4548,-26.5,-611.0208,6886.6,7.3584,-38,-649.4484,5471.8,11.3544,-45.3,-107.4504,506.9,8.7696,-35.3,-596.256,7457.6,26.574,52.3,-401.142,4225
12.2952,-34.9,-600.294,6781,7.2816,-31.3,-644.382,5414.7,10.9896,-47,-102.3048,470.7,8.6208,-45.8,-593.3916,7420.7,26.4192,58.5,-386.4108,4055.6
12.0432,-28.2,-590.154,6661.6,7.1544,-34.9,-638.9052,5350.8,11.1612,-46.8,-98.3664,449,8.7552,-41.1,-590.8776,7386.5,26.2968,55.7,-371.322,3890.7
12.426,-19.2,-579.5412,6557.7,7.56,-34.3,-633.69,5297.9,11.1132,-49.5,-95.3844,436.8,8.3808,-33.6,-587.19,7340.4,26.7768,51.3,-357.0432,3729
12.4992,-30.6,-569.52,6432.2,7.2288,-30.6,-627.786,5231.4,10.9512,-40.6,-92.7096,422.2,8.466,-36.8,-581.0988,7306.9,27.1572,51.7,-342.9132,3563.8
12.1812,-32.7,-559.7124,6326.8,7.3068,-43.7,-621.1296,5153,11.1768,-54.1,-90.6564,408.9,8.742,-41.4,-574.6632,7268.7,27.738,48.6,-328.974,3398.2
12.5964,-20.5,-548.9652,6214.5,7.1316,-39.5,-614.5056,5081.9,11.088,-51.5,-89.4108,398.3,8.4228,-39.2,-565.662,7234.7,27.9576,57.6,-315.2724,3239.9
12.5508,-26.8,-539.004,6107.4,7.4952,-34.4,-606.402,5006.6,11.3352,-46.2,-88.572,387.9,8.9796,-35.8,-554.9832,7209.4,28.176,60.2,-301.362,3085.8
12.2676,-28.7,-529.44,6004.1,7.1796,-34.4,-598.5048,4937.5,10.9668,-51.3,-87.996,389.2,8.55,-33.4,-544.038,7190.6,28.8552,60.8,-286.962,2933.6
12.1668,-21.9,-519.0348,5891.7,7.4088,-39.6,-590.8584,4870.5,10.734,-54.9,-87.2376,374.4,8.2812,-45.3,-533.8128,7172.8,28.7664,61.9,-272.9784,2775.8
12.1776,-21,-509.4048,5794.1,7.3656,-48.6,-584.2656,4804,11.1744,-51.7,-86.7,367.9,8.6136,-37.4,-527.37,7151.3,28.9452,63.9,-259.6104,2620.6
12.1056,-29.5,-501.462,5694.6,7.4784,-48.7,-577.8132,4732.3,10.9752,-45.6,-85.7136,356.3,8.4972,-34.8,-524.9124,7144.1,29.5872,66.9,-247.3836,2497.3
11.9952,-29.5,-492.0996,5591.9,7.2384,-40.5,-570.4188,4658.7,11.1708,-37.7,-83.5176,350.1,8.6412,-35.1,-527.1672,7124.9,30.0288,69.3,-234.9168,2352.1
12.1332,-28.2,-483.2052,5497.6,7.0848,-43,-564.0684,4592.8,11.55,-42.4,-81.3264,329.1,8.5428,-31.8,-532.9932,7114.4,30.3288,62.7,-222.0156,2223.8
12.306,-26,-474.6924,5409,7.1928,-38.9,-556.5936,4516.6,11.6256,-42.7,-79.5648,320.2,8.5992,-35.5,-539.85,7094.3,30.4068,68.5,-210.4392,2095.9
12.0648,-23,-466.2312,5323.9,6.9876,-37,-549.366,4453,11.3412,-33.1,-77.2344,306.9,8.5824,-35.8,-546.1308,7079.6,31.1316,60.8,-198.7572,1972.4
12.0336,-27.6,-458.2764,5235.2,7.0416,-51,-542.3604,4378.8,11.3292,-40.7,-75.1884,288.4,8.5524,-33.4,-550.5852,7054.8,31.164,80.5,-187.3104,1848.7
12.0036,-21.8,-450.864,5159.3,7.044,-49.1,-533.778,4304.3,11.802,-33.6,-73.1316,277.8,9.2472,-33.9,-552.2256,7026.3,31.374,80.7,-176.7396,1728.4
12.162,-27,-442.8192,5089.2,7.074,-34,-525.2364,4221,11.7444,-38.5,-70.5528,278,9.228,-19.3,-551.5404,7014.2,32.0412,82.1,-166.6872,1611.4
12.0696,-24.3,-434.802,5028.1,7.1412,-50.8,-516.8148,4135.6,11.6412,-44.9,-68.088,264.8,8.7204,-21,-547.7868,6983.6,32.838,81,-155.8596,1498.7
11.8176,-28.8,-428.496,4964.2,7.2036,-38.7,-507.8316,4064.8,12.1092,-32.1,-65.886,244,9.036,-42.4,-541.9068,6968.9,33.6312,86.2,-146.9328,1391.5
11.8584,-23.9,-422.706,4914.1,7.1628,-40,-497.8896,3964.6,11.9868,-37.1,-63.4488,240.7,8.9556,-29.1,-534.522,6952.7,33.9948,88.8,-137.0388,1291.9
11.8896,-22.5,-418.4112,4855.9,7.1928,-41.2,-488.9712,3885.3,11.5104,-37.9,-61.2396,221.9,9.0492,-29.2,-527.8116,6935,35.0904,91,-128.0796,1201
11.9076,-23.3,-414.8652,4822.1,7.4844,-38.3,-479.2896,3812.7,12.0936,-31.8,-58.5024,211.3,9.0336,-28,-522.1776,6921.8,35.1864,102.4,-119.4408,1109.9
12.3396,-28.8,-411.7488,4772.2,7.3704,-40.3,-469.1448,3723.9,12.0324,-17.6,-56.3544,194.9,8.7468,-29.5,-518.4036,6898.7,35.7612,101.5,-110.1708,1023.2
12.1992,-24.3,-408.1776,4709,7.2576,-51,-459.8676,3649.3,11.7792,-29.2,-54.108,185.3,8.7984,-27.5,-518.5188,6891.8,36.5124,101,-102.4896,925.7
