,Dc,Dt,NSpc,NSt,Sc,St,Wc,Wt
5269,,,0.12300000000000001,4.079027848,,,,
5270,,,0.1202,4.081013799,,,,
5271,,,0.1265,4.09744873,,,,
5272,,,0.1183,4.110397321000001,,,,
5273,,,0.131,4.111404598,,,,
5274,,,0.1248,4.120531918999999,,,,
5275,,,0.1248,4.121977968,,,,
5276,,,0.1324,4.136859128999999,,,,
5277,,,0.1279,4.1462846760000005,,,,
5278,,,0.13,4.154386267,,,,
5279,,,0.1374,4.158462253,,,,
5280,,,0.1204,4.1592353410000005,,,,
5281,,,0.1259,4.167906887,,,,
5282,,,0.1276,4.190970262,,,,
5283,,,0.1163,4.202743468,,,,
5284,,,0.1191,4.214066992,,,,
5285,,,0.127,4.225647412,,,,
5286,,,0.1352,4.265761607,,,,
5287,,,0.1328,4.262909728,,,,
5288,,,0.1384,4.279796463,,,,
5289,,,0.142,4.2955995080000005,,,,
5290,,,0.1319,4.289152452,,,,
5291,,,0.1323,4.289609375,,,,
5292,,,0.1446,4.272407343999999,,,,
5293,,,0.1312,4.276754186000001,,,,
5294,,,0.1342,4.258928544,,,,
5295,,,0.1398,4.248803715,,,,
5296,,,0.14,4.244884358,,,,
5297,,,0.1363,4.220440356,,,,
5298,,,0.1336,4.224927847,,,,
5299,,,0.151,4.214299462,,,,
5300,,,0.1345,4.201704465,,,,
5301,,,0.1328,4.183871388,,,,
5302,,,0.1292,4.169372552,,,,
5303,,,0.1464,4.1638934569999995,,,,
5304,,,0.1344,4.165632694,,,,
5305,,,0.1213,4.176884499,,,,
5306,,,0.1224,4.170763933,,,,
5307,,,0.1285,4.185018685,,,,
5308,,,0.1354,4.180825648,,,,
5309,,,0.1379,4.169278115,,,,
5310,,,0.1332,4.1721639669999995,,,,
5311,,,0.15,4.183064315,,,,
5312,,,0.1415,4.186693561,,,,
5313,,,0.1253,4.1970717230000005,,,,
5314,,,0.1385,4.1925070280000005,,,,
5315,,,0.1363,4.190732456,,,,
5316,,,0.1468,4.2018361760000005,,,,
5317,,,0.1336,4.19919492,,,,
5318,,,0.1319,4.19327246,,,,
5319,,,0.1389,4.203860683,,,,
