Dcu1,Dtu1,Dcd1,Dtd1,Dcu2,Dtu2,Dcd2,Dtd2,Dcu3,Dtu3,Dcd3,Dtd3,Dcu4,Dtu4,Dcd4,Dtd4,Dcu5,Dtu5,Dcd5,Dtd5
0.9244,127.300358,88.3922,-908.4969776,0.0578,113.5592928,83.5421,-889.9901436,0.09,121.791712,92.7167,-904.1324144,-0.7158,103.2203176,52.071,-654.0445828,-0.721,99.4789044,76.8189,-944.6100548
0.9181,120.2755932,88.1105,-905.142144,0.0618,114.986502,83.2479,-887.4555196,0.1127,122.8038312,92.4328,-900.4885628,-0.7106,101.7160644,51.7422,-650.413668,-0.7375,97.7941952,76.5764,-941.2152572
0.9201,120.8872484,87.8169,-902.5965608,0.0583,112.3187608,82.9337,-885.1709796,0.1339,124.1905408,92.1284,-899.3983284,-0.7007,101.3135404,51.4346,-647.5729692,-0.7259,98.3805536,76.3323,-935.9091916
0.9226,119.1296976,87.5172,-899.3077708,0.0636,115.687726,82.6345,-882.144922,0.1556,124.4063876,91.825,-895.5988232,-0.7023,100.9795732,51.1256,-643.747508,-0.728,97.316028,76.048,-932.7553316
0.9257,139.0375788,87.2418,-897.2769404,0.0613,120.1421464,82.3217,-879.0274416,0.1841,125.3396912,91.527,-895.286692,-0.7053,100.6399204,50.8109,-639.5038256,-0.7305,96.5049236,75.7848,-927.5876568
0.9215,140.7831816,86.9368,-894.7447472,0.0595,127.6363028,82.0078,-874.8500088,0.2057,125.7056708,91.2133,-891.685812,-0.7154,100.1064216,50.5025,-636.5270432,-0.7305,96.7933648,75.5345,-923.9641992
0.9267,142.336298,86.6427,-892.521554,0.054,130.908242,81.698,-872.8682888,0.2412,126.0503912,90.904,-888.9423452,-0.7135,100.592458,50.1909,-632.7245716,-0.725,97.5413096,75.2663,-921.0020016
0.9204,141.9382648,86.3513,-889.040772,0.0525,133.40764,81.3835,-869.4831732,0.2488,128.4818092,90.5923,-887.4644188,-0.7067,100.2736112,49.8643,-627.5891152,-0.7228,97.3376992,74.996,-915.8709124
0.9205,142.4509576,86.0504,-887.9470356,0.0422,133.9547348,81.0781,-867.0757336,0.2673,126.4600428,90.2829,-883.22189,-0.7021,99.8010472,49.5425,-624.0165808,-0.7343,97.071918,74.7121,-912.9213632
0.9321,141.9537148,85.7596,-885.4851296,0.0386,134.4542024,80.7428,-864.099322,0.1023,106.9640792,89.9773,-881.2447844,-0.7083,100.0488652,49.2192,-620.3789504,-0.7285,96.506242,74.4597,-907.5146872
0.9189,141.6181408,85.4685,-885.6919124,0.0545,134.4474868,80.4269,-860.3586504,0.1034,109.2420684,89.6627,-878.4784928,-0.7037,100.182106,48.9151,-616.3205856,-0.7269,96.0209472,74.1552,-902.588568
0.9244,142.3903524,85.1586,-882.0520572,0.0431,134.4950728,80.1111,-857.1355332,0.0978,104.4629508,89.3512,-875.9032456,-0.7071,99.267878,48.6079,-612.6300544,-0.7404,95.8110332,73.873,-899.7634428
0.9102,140.8659524,84.8505,-879.681986,0.0407,134.8571384,79.7851,-855.2229468,0.0939,103.9946304,89.0584,-873.2081476,-0.7169,99.4591696,48.2985,-607.4666232,-0.7355,95.5231276,73.5954,-896.497766
0.9419,148.4551572,81.9654,-884.4490732,0.05,134.81565,79.449,-853.3171584,0.0878,104.7803144,88.7292,-870.8834788,-0.7217,99.4633308,47.9805,-604.0959688,-0.7282,95.5799836,73.303,-891.0278892
0.9955,155.7254328,81.6353,-878.7605892,0.078,133.9413448,79.124,-849.3720524,0.0855,123.5343072,88.39,-868.3930624,-0.7193,100.2270552,47.6661,-601.3795704,-0.7256,96.1200744,73.0071,-887.2184548
1.0329,158.6978892,81.3074,-873.8373128,0.1119,133.9609148,78.8021,-846.1215784,0.0869,125.6072852,88.0667,-866.2424224,-0.699,117.6486812,47.3626,-598.5394072,-0.7119,96.0663908,72.7139,-882.450832
1.0921,160.7405852,80.9888,-868.3883244,0.1345,135.5445192,78.4654,-843.5301808,0.0899,125.8035208,87.7383,-863.0601756,-0.7057,119.154706,47.0455,-596.2178284,-0.7153,96.6854208,72.4238,-879.2181976
1.1327,161.589058,80.6819,-865.1819756,0.1634,136.4307312,78.1178,-840.0973556,0.0837,126.3227232,87.4135,-858.391886,-0.7155,120.2051824,46.7455,-591.3916604,-0.7341,110.4870912,72.1094,-877.5165964
1.1835,162.2951848,80.348,-860.1666996,0.1968,137.562248,77.7773,-836.4705608,0.0844,126.0234464,87.0856,-855.8859784,-0.7036,120.7910876,46.4365,-586.847424,-0.7314,113.9312876,71.8211,-872.30389
1.2222,162.8021508,80.0134,-855.33979,0.2288,138.3006756,77.4527,-832.9419044,0.1,126.054882,86.7602,-853.8766544,-0.7061,120.424078,46.1265,-583.4313672,-0.7193,115.707296,71.5178,-868.680556
1.2732,163.9852088,79.6877,-853.1733704,0.259,138.8138216,77.094,-829.0794456,0.0986,126.293842,86.4342,-851.6703944,-0.7077,119.608318,45.8068,-579.272392,-0.7218,115.7839692,71.2074,-862.7086984
1.3148,164.3225544,79.3432,-847.9908224,0.2978,138.6323768,76.7563,-825.4647636,0.0954,127.4976648,86.0797,-847.835828,-0.7154,120.9952336,45.4931,-575.9663804,-0.7284,116.019386,70.8908,-857.6249892
1.3592,164.5672,79.0144,-844.536738,0.3232,139.3148548,76.4141,-822.3664824,0.0995,126.7298616,85.7434,-843.9968532,-0.7088,120.0379516,45.1921,-571.8878276,-0.7087,116.0700208,70.5783,-854.664728
1.3951,166.0525012,78.6732,-841.98275,0.3617,140.2327084,76.074,-817.0409292,0.1612,127.0833576,85.3987,-841.729576,-0.7014,119.8195092,44.8906,-569.5997444,-0.7181,116.1859576,70.2746,-850.5145284
1.4212,165.2950392,78.318,-838.0514048,0.3924,141.1501912,75.7491,-814.6448196,0.2609,128.8928616,85.0597,-837.3657956,-0.7176,119.5757288,44.5816,-566.6735968,-0.7242,116.0549004,69.9385,-847.152114
1.4446,166.082124,77.9828,-834.4142688,0.433,142.3050272,75.3938,-811.9507516,0.2947,130.4697504,84.7284,-835.0256356,-0.7098,120.5555472,44.2574,-563.0812864,-0.7294,114.7109564,69.6265,-842.6485008
1.4781,166.646564,77.6325,-828.9548568,0.4605,142.5112744,75.0601,-806.6014672,0.3557,131.4040016,84.3767,-832.0184064,-0.7015,120.204894,43.9473,-558.8769088,-0.7227,114.648044,69.3066,-839.8394024
1.5168,167.1254728,77.2802,-825.4983004,0.5134,142.5928504,74.7108,-804.6883452,0.4016,133.141282,84.0342,-829.3577516,-0.706,119.7767848,43.6516,-556.616718,-0.7262,115.0224284,68.9593,-834.5137256
1.5616,166.9568824,76.9359,-821.8775208,0.5381,143.8725224,74.3838,-801.0819032,0.4495,133.012326,83.7065,-828.7722172,-0.6972,119.6401656,43.3383,-552.2172996,-0.7056,114.9826292,68.617,-829.07067
1.5986,168.1045908,76.5968,-817.9983348,0.5916,144.3433148,74.0416,-797.6134812,0.5044,134.0454984,83.3476,-826.8049584,-0.7035,119.1357128,43.0246,-549.2076808,-0.7139,115.1670816,68.278,-825.8235744
1.6221,168.6042232,76.2648,-815.1702432,0.6432,144.7595172,73.6775,-791.5837376,0.549,134.7798884,83.0055,-824.4279244,-0.6968,119.9580648,42.7184,-544.709712,-0.7148,114.5449616,67.9492,-820.5071676
1.6558,168.1492104,75.9156,-811.3141292,0.6753,146.0644448,73.3414,-789.3572072,0.5952,135.3915848,82.6506,-820.9461948,-0.6898,118.6469572,42.3953,-540.939294,-0.6992,113.746176,67.6084,-816.8576304
1.6859,169.0418908,75.5619,-805.58152,0.7229,146.9141948,73.0083,-785.9291612,0.6231,136.2738004,82.2983,-819.6106556,-0.6911,119.681448,42.0911,-537.1000308,-0.7223,114.6622168,67.2712,-810.1933244
1.733,169.434156,75.2209,-800.8874392,0.7641,147.738648,72.6586,-781.8011272,0.6813,137.1093776,81.9477,-814.567034,-0.6995,120.0756084,41.7853,-533.9000268,-0.7189,113.7452284,66.9375,-805.7620996
1.7687,169.9373728,74.8747,-798.7768456,0.803,148.335842,72.3212,-777.9837,0.7235,138.1804952,81.592,-813.2957256,-0.696,120.2946688,41.4792,-528.4419332,-0.7139,114.2556964,66.5961,-797.9944988
1.8206,169.8732656,74.5318,-792.943008,0.8372,149.5668568,71.9742,-773.3300776,0.758,138.3791204,79.7831,-847.7401204,-0.6946,118.4934872,41.1621,-524.714116,-0.7059,113.7694952,66.2657,-793.609418
1.8653,171.9719936,74.1942,-789.2722116,0.8729,150.1534624,71.6406,-770.4419164,0.8163,139.0473844,78.4113,-824.411156,-0.5838,108.1828576,40.8627,-519.85643,-0.7065,115.490996,65.9373,-792.3105056
1.9173,173.2372456,73.8583,-786.0406896,0.9211,152.9695236,71.3089,-765.790148,0.8588,140.0860364,78.0629,-818.4698688,-0.5891,112.0625792,40.5515,-515.8322612,-0.6071,97.799716,65.5974,-787.1230548
1.6165,117.4074552,73.5054,-782.2117676,0.5914,111.9071728,70.9497,-761.6427912,0.8892,140.0419524,77.7152,-814.2496292,-0.5897,109.2374952,40.2511,-512.225366,-0.6065,103.9926116,65.2619,-784.0927948
1.6264,118.6410244,73.1671,-778.7076252,0.5896,113.2092164,70.6199,-758.4335996,0.9319,141.6969564,77.349,-808.3750036,-0.5736,110.019636,39.9574,-509.6914836,-0.5986,100.0877168,62.0955,-789.832614
1.6263,116.2528664,72.8402,-776.115486,0.5923,111.2284028,70.2893,-755.6444832,0.9775,142.26873,77.0111,-803.3633944,-0.5872,107.1304036,39.6471,-507.7830172,-0.598,100.7158932,61.7596,-782.510756
1.6399,136.1668452,72.506,-771.714914,0.5932,116.87408,69.9523,-752.7461456,1.0176,143.0882804,76.6761,-798.210634,-0.5946,107.5438868,39.334,-504.0287908,-0.5902,98.0207952,61.4158,-778.5391996
1.6354,138.124422,72.1705,-769.3643304,0.5886,122.2240648,69.6147,-748.9648096,1.0685,143.2034756,76.3235,-794.4809216,-0.587,107.0529888,39.033,-501.6313628,-0.5957,99.3143516,61.0963,-771.757762
1.6324,139.6807108,71.8308,-764.8243788,0.5871,129.4144124,69.2673,-746.4862588,1.1006,143.7253148,75.9819,-789.517022,-0.5849,106.8326924,38.7297,-498.9192492,-0.5984,98.3912656,60.7567,-765.180594
1.6325,139.4499908,71.493,-760.3217956,0.5801,132.84732,68.9359,-744.2614176,1.1349,146.3422564,75.6542,-785.607348,-0.5909,107.1734164,38.4335,-494.803946,-0.5897,98.370542,60.4228,-760.73326
1.6159,139.5883816,71.1636,-758.097078,0.5965,133.7027968,68.5964,-740.8316824,1.1689,144.7570452,75.3234,-782.6334084,-0.5948,107.4387856,38.1345,-492.5809176,-0.5949,97.9096788,60.0926,-756.8832848
1.6151,140.445012,70.8309,-753.4378112,0.5874,133.3508252,68.2618,-737.9697244,0.9125,107.964786,74.9725,-777.7627444,-0.5998,106.2734848,37.8242,-490.3923736,-0.5935,97.9816552,59.7626,-751.7054336
1.6244,139.8738564,70.4906,-750.9319448,0.5907,133.8062912,67.9259,-734.5815188,0.9079,112.44405,74.6318,-773.8826108,-0.6076,104.5021732,37.519,-485.4405456,-0.5926,98.9679832,59.4411,-744.4504844
1.8215,172.4538276,70.1445,-748.8568656,0.6012,135.3320508,67.6023,-733.9537544,0.9049,105.6919056,74.3006,-769.7813156,-0.5913,105.7607096,37.2203,-485.4939408,-0.585,99.1231424,59.1253,-741.0327796
1.9449,177.122694,69.8222,-743.501772,0.5819,134.4624012,63.9802,-728.7784576,0.9022,106.1868824,73.9674,-766.1734728,-0.5929,105.376396,34.5875,-499.8086336,-0.5781,98.8460312,58.7992,-736.5077424
2.0587,181.3351468,69.4852,-741.7761924,0.5908,134.6808436,63.6346,-723.82733,0.9006,103.2670384,73.6271,-762.5056428,-0.5889,105.0183268,34.273,-492.56555,-0.5906,98.62145,58.4721,-730.8209476
2.1423,184.403558,69.1432,-737.8372664,0.8027,149.8623432,63.3097,-718.8375156,0.9087,107.0756488,73.2899,-759.694608,-0.5827,106.032918,33.9536,-486.2093788,-0.5952,98.6103672,58.1387,-725.0931176
2.2472,185.725872,68.834,-734.0098688,0.8887,153.1511332,62.9798,-715.31232,0.9098,110.2686488,72.9664,-756.4014508,-0.5887,104.6600104,33.6621,-481.2362504,-0.6033,98.5846584,57.8276,-720.2819052
2.3428,187.4472492,68.5082,-732.3331936,0.968,156.0423432,62.6443,-709.2628004,0.9082,116.5272996,72.6318,-751.964664,-0.5901,105.3868608,33.3683,-477.6734392,-0.5974,99.255106,57.495,-715.3744908
2.4287,188.947918,68.1805,-730.7902536,1.0339,157.4224608,62.3134,-705.0910944,0.9132,122.7685228,72.2917,-748.2800656,-0.5907,116.6012536,33.064,-472.533286,-0.5978,112.7755864,57.173,-711.50853
2.5307,190.5463544,67.8485,-727.3137976,1.0974,159.4386652,61.9916,-702.158808,0.9162,124.4440856,71.9561,-744.2935536,-0.5945,122.78422,32.7784,-468.8785164,-0.5978,118.0570144,56.844,-708.1913944
