Time,,,ueWrenA1,ueWrenA2,ueWrenB1,ueWrenB2,Pressure,EX1629_TIME_252,
ID,,,EX1629_25200,EX1629_25201,EX1629_25202,EX1629_25203,EX1629_25247,EX1629_TIME_252,
Unit,,,uStrain,uStrain,uStrain,uStrain,psi,s,
RangeMax,,,1706,1706,1706,1706,9500,1100,
RangeMin,,,-1706,-1706,-1706,-1706,-9500,-210,
ThreeFactorial,,,0,0,0,0,0,0,
TwoFactorial,,,0,0,0,0,0,0,
PrefixGain,,,1,1,1,1,1,1,
PrefixOffset,,,0,0,0,0,0,0,
Slope,,,1,1,1,1,1,1,
Offset,,,0,0,0,0,0,0,
ZeroValue,,,-0.186857,-1.42384,1.06115,-1.25018,-119.155,107.636,
Datetime,Second,Time,,,,,,,
2/6/2020 15:13,13.205,16.36,-9.5612,-29.7839,37.0021,15.3604,-1.332,137.832,2046
2/6/2020 15:13,13.213,16.368,-10.5432,-30.6926,36.7052,14.9599,-2.3294,137.84,2047
2/6/2020 15:13,13.221,16.376,-10.1435,-30.2033,37.5384,16.0642,-3.2863,137.848,2048
2/6/2020 15:13,13.229,16.384,-10.7861,-30.9546,36.824,15.1027,-2.9504,137.856,2049
2/6/2020 15:13,13.237,16.392,-9.5245,-29.8154,37.1281,15.6084,-1.5476,137.864,2050
2/6/2020 15:13,13.245,16.4,-10.295,-30.5895,36.5226,14.5846,-2.2585,137.872,2051
2/6/2020 15:13,13.253,16.408,-9.7907,-30.1231,37.53,15.816,-0.4889,137.88,2052
2/6/2020 15:13,13.261,16.416,-10.6865,-31.0398,37.233,15.0808,-2.678,137.888,2053
2/6/2020 15:13,13.269,16.424,-10.0766,-30.3552,37.9022,16.0591,-2.4008,137.896,2054
2/6/2020 15:13,13.277,16.432,-10.9453,-31.2544,37.5749,15.3806,-2.6379,137.904,2055
2/6/2020 15:13,13.285,16.44,-10.2769,-30.6441,37.9425,16.2436,-1.9887,137.912,2056
2/6/2020 15:13,13.293,16.448,-10.8025,-31.0677,37.3355,15.3466,-1.8782,137.92,2057
2/6/2020 15:13,13.301,16.456,-10.1181,-30.4369,37.725,16.0429,-1.8331,137.928,2058
2/6/2020 15:13,13.309,16.464,-11.0022,-31.1615,37.5369,15.744,-1.6695,137.936,2059
2/6/2020 15:13,13.317,16.472,-10.816,-30.7834,38.0085,16.441,-2.0291,137.944,2060
2/6/2020 15:13,13.325,16.48,-10.9389,-31.0588,37.5327,15.8184,-2.4474,137.952,2061
2/6/2020 15:13,13.333,16.488,-10.3404,-30.4141,37.3014,15.608,-1.9944,137.96,2062
2/6/2020 15:13,13.341,16.496,-10.4756,-30.6109,37.183,15.3223,-3.4333,137.968,2063
2/6/2020 15:13,13.349,16.504,-10.4673,-30.6811,37.4073,15.5182,-1.8389,137.976,2064
2/6/2020 15:13,13.357,16.512,-10.3545,-30.7749,37.609,15.618,-1.4487,137.984,2065
2/6/2020 15:13,13.365,16.52,-10.3436,-30.6907,37.1475,15.1937,-2.4508,137.992,2066
2/6/2020 15:13,13.373,16.528,-10.1109,-30.5203,37.5769,15.5571,-1.6032,138,2067
2/6/2020 15:13,13.381,16.536,-10.7261,-31.1278,37.5765,15.4628,-1.0883,138.008,2068
2/6/2020 15:13,13.389,16.544,-10.3397,-30.6642,37.7787,15.988,-0.7351,138.016,2069
2/6/2020 15:13,13.397,16.552,-10.9389,-31.2194,37.5496,15.4859,-2.0854,138.024,2070
2/6/2020 15:13,13.405,16.56,-10.4976,-30.6068,38.0477,16.2173,-1.0213,138.032,2071
2/6/2020 15:13,13.413,16.568,-11.1593,-31.1858,37.5188,15.6211,-0.9461,138.04,2072
